Bus Name,Stop Order,Stop Name,latitude,longitude
Achim Paribahan,1,Gabtoli,23.6324042,90.48826063
Achim Paribahan,2,Technical,24.15329785,90.67259393
Achim Paribahan,3,Ansar Camp,23.7929307,90.3532421
Achim Paribahan,4,Mirpur 1,23.801924,90.3523456
Achim Paribahan,5,Sony Cinema Hall,23.8004874,90.3553934
Achim Paribahan,6,Mirpur 2,23.8063402,90.35702594
Achim Paribahan,7,Mirpur 10,23.8083649,90.3682614
Achim Paribahan,8,Mirpur 11,23.8202931,90.3710408
Achim Paribahan,9,Purobi,23.8138963,90.4240396
Achim Paribahan,10,Kalshi,23.8202931,90.3710408
Achim Paribahan,11,ECB Square,23.82257685,90.39343328
Achim Paribahan,12,MES,23.9161376,90.2607105
Achim Paribahan,13,Shewra,23.81799371,90.41360546
Achim Paribahan,14,Kuril Bishwa Road,23.8212083,90.4195365
Achim Paribahan,15,Jamuna Future Park,23.8135723,90.42402377
Achim Paribahan,16,Bashundhara,23.8239025,90.4699552
Achim Paribahan,17,Nadda,23.809823,90.4220557
Achim Paribahan,18,Notun Bazar,23.7982944,90.4239709
Achim Paribahan,19,Bashtola,23.79440473,90.42251274
Achim Paribahan,20,Shahjadpur,23.7884856,90.4237741
Achim Paribahan,21,Uttar Badda,23.7857042,90.4256113
Achim Paribahan,22,Badda,23.77654245,90.44630117
Achim Paribahan,23,Madhya Badda,23.77654245,90.44630117
Achim Paribahan,24,Merul,23.7718576,90.4250807
Achim Paribahan,25,Rampura Bridge,23.76802955,90.42334025
Achim Paribahan,26,Banasree,23.7617123,90.4312774
Achim Paribahan,27,Demra Staff Quarter,23.7197292,90.4905289
Active Paribahan,1,Shia Masjid,23.7620967,90.35911327
Active Paribahan,2,Adabor,23.7629379,90.3567682
Active Paribahan,3,Shyamoli,23.7775998,90.3601928
Active Paribahan,4,Technical,24.15329785,90.67259393
Active Paribahan,5,Ansar Camp,23.7929307,90.3532421
Active Paribahan,6,Mirpur 1,23.801924,90.3523456
Active Paribahan,7,Sony Hall,23.8004874,90.3553934
Active Paribahan,8,Mirpur 2,23.8063402,90.35702594
Active Paribahan,9,Mirpur 10,23.8083649,90.3682614
Active Paribahan,10,Mirpur 11,23.8202931,90.3710408
Active Paribahan,11,Purobi,23.8138963,90.4240396
Active Paribahan,12,Kalshi,23.8202931,90.3710408
Active Paribahan,13,ECB Square,23.82257685,90.39343328
Active Paribahan,14,MES,23.9161376,90.2607105
Active Paribahan,15,Shewrapara,23.7909631,90.3755087
Active Paribahan,16,Kuril Bishwa Road,23.8212083,90.4195365
Active Paribahan,17,Khilkhet,23.8351324,90.43511207
Active Paribahan,18,Airport,23.8602996,90.39876
Active Paribahan,19,Jashimuddin,23.86019929,90.39062568
Active Paribahan,20,Rajlakshmi,23.8644797,90.4002124
Active Paribahan,21,Azampur,23.8665496,90.4100105
Active Paribahan,22,House Building,23.8748268,90.4006897
Active Paribahan,23,Abdullahpur,23.5542881,90.473867
Agradut,1,Savar,23.8477,90.2587
Agradut,2,Hemayetpur,23.7931994,90.2714229
Agradut,3,Amin Bazar,23.7896155,90.3240987
Agradut,4,Gabtoli,23.6324042,90.48826063
Agradut,5,Technical,24.15329785,90.67259393
Agradut,6,Kallyanpur,23.7806848,90.3613321
Agradut,7,Shyamoli,23.7775998,90.3601928
Agradut,8,Shishu Mela,23.773007,90.3678804
Agradut,9,Agargaon,23.7784275,90.3800503
Agradut,10,chandrima udyan,23.766533,90.378693
Agradut,11,Bijoy Sarani,23.7663936,90.3830971
Agradut,12,Jahangir Gate,23.7752465,90.3903174
Agradut,13,Mohakhali,23.7799893,90.40832417
Agradut,14,Wireless,23.7496943,90.4082451
Agradut,15,Gulshan 1,23.780553,90.4169
Agradut,16,Badda Link Road,23.78058386,90.41997677
Agradut,17,Bashtola,23.79440473,90.42251274
Agradut,18,Shahjadpur,23.7884856,90.4237741
Agradut,19,Uttar Badda,23.7857042,90.4256113
Agradut,20,Notun Bazar,23.7982944,90.4239709
Airport Bangabandhu Avenue,1,Fulbaria,24.1892148,90.3087797
Airport Bangabandhu Avenue,2,Golap Shah Mazar,23.7249921,90.410846
Airport Bangabandhu Avenue,3,GPO,23.7289296,90.41140102
Airport Bangabandhu Avenue,4,Paltan,23.7313082,90.4120882
Airport Bangabandhu Avenue,5,Press Club,22.967864,89.8176179
Airport Bangabandhu Avenue,6,High Court,23.7305,90.4034
Airport Bangabandhu Avenue,7,Matsya Bhaban,23.73418399,90.40403594
Airport Bangabandhu Avenue,8,Shahbag,23.7401951,90.3901161
Airport Bangabandhu Avenue,9,Bangla Motor,23.7458397,90.3949387
Airport Bangabandhu Avenue,10,Kawran Bazar,23.7514308,90.3948605
Airport Bangabandhu Avenue,11,Farmgate,23.7590394,90.3871113
Airport Bangabandhu Avenue,12,Bijoy Sarani,23.7663936,90.3830971
Airport Bangabandhu Avenue,13,Jahangir Gate,23.7752465,90.3903174
Airport Bangabandhu Avenue,14,Mohakhali,23.7799893,90.40832417
Airport Bangabandhu Avenue,15,Chairman Bari,23.71096925,90.41095483
Airport Bangabandhu Avenue,16,Sainik Club,23.79122995,90.399527
Airport Bangabandhu Avenue,17,Banani,23.790321,90.4076959
Airport Bangabandhu Avenue,18,Kakali,23.820295,90.3682928
Airport Bangabandhu Avenue,19,Staff Road,23.8127577,90.4016567
Airport Bangabandhu Avenue,20,MES,23.9161376,90.2607105
Airport Bangabandhu Avenue,21,Shewra,23.81799371,90.41360546
Airport Bangabandhu Avenue,22,Kuril Bishwa Road,23.8212083,90.4195365
Airport Bangabandhu Avenue,23,Khilkhet,23.8351324,90.43511207
Airport Bangabandhu Avenue,24,Airport,23.8602996,90.39876
Airport Bangabandhu Avenue,25,Jashimuddin (Uttara),23.8608721,90.4004138
Airport Bangabandhu Avenue,26,Rajlakshmi,23.8644797,90.4002124
Airport Bangabandhu Avenue,27,Azampur,23.8665496,90.4100105
Airport Bangabandhu Avenue,28,House Building,23.8748268,90.4006897
Airport Bangabandhu Avenue,29,Abdullahpur,23.5542881,90.473867
Ajmeri Glory,1,Sadarghat,24.5389931,91.6042712
Ajmeri Glory,2,Ray Saheb Bazar,23.7138661,90.411512
Ajmeri Glory,3,Naya Bazar,23.713843,90.4045497
Ajmeri Glory,4,Golap Shah Mazar,23.7249921,90.410846
Ajmeri Glory,5,GPO,23.7289296,90.41140102
Ajmeri Glory,6,Paltan,23.7313082,90.4120882
Ajmeri Glory,7,Kakrail,23.7385398,90.4071475
Ajmeri Glory,8,Shantinagar,23.7385358,90.4139156
Ajmeri Glory,9,Malibagh Moor,23.74419188,90.41424554
Ajmeri Glory,10,Mouchak,24.023552,90.292921
Ajmeri Glory,11,Nabisco,23.7692591,90.4012227
Ajmeri Glory,12,Mohakhali,23.7799893,90.40832417
Ajmeri Glory,13,Sainik Club,23.79122995,90.399527
Ajmeri Glory,14,Banani,23.790321,90.4076959
